time,p_z0,p_z025,p_z050,p_z075,p_z100,uz_top
160,17.368675596129,16.044584265328,12.281508294254,6.6458844053384,-3.0890542920793e-15,-0.0089004930041912
162.5,16.254431201105,15.015283672477,11.493618526633,6.2195341400192,-2.8908836594468e-15,-0.0089068766292253
165,15.211668397458,14.052015311612,10.756273877004,5.8205353207445,-2.7054261732717e-15,-0.0089128507285951
167.5,14.235801460621,13.150543048331,10.066231748431,5.4471332831901,-2.5318662531138e-15,-0.0089184415744058
170,13.322538851827,12.30690250694,9.4204575647487,5.0976859291784,-2.369440640068e-15,-0.0089236737533409
172.5,12.467864345353,11.517383636451,8.8161114255129,4.7706565052716,-2.2174350402204e-15,-0.0089285702747863
175,11.668019366506,10.778514395024,8.2505356170725,4.4646068446526,-2.0751809834127e-15,-0.0089331526720173
177.5,10.919486462644,10.087045481063,7.7212429248101,4.1781910425304,-1.9420528835389e-15,-0.0089374410968954
180,10.218973834603,9.439936043886,7.2259056952159,3.9101495373121,-1.8174652874206e-15,-0.0089414544084894
182.5,9.5634008604209,8.8343403110322,6.7623455996087,3.6593035714487,-1.7008703001702e-15,-0.0089452102560112
185,8.949884547847,8.2675950735634,6.3285240546192,3.424550007679,-1.5917551757539e-15,-0.008948725156431
187.5,8.3757268558313,7.7372079740897,5.9225332571248,3.2048564777691,-1.4896400620807e-15,-0.0089520145671139
190,7.8384028294944,7.2408465462633,5.5425877944077,2.9992568425251,-1.3940758907887e-15,-0.0089550929537957
192.5,7.3355494961856,6.7763279573405,5.1870167924825,2.8068469430186,-1.3046424023834e-15,-0.008957973854199
195,6.8649554739033,6.3416094087974,4.854256568141,2.6267806243977,-1.2209462980787e-15,-0.0089606699375673
197.5,6.424551246389,5.934779152797,4.5428437524019,2.4582660147772,-1.1426195101917e-15,-0.0089631930603799
200,6.0124000620677,5.5540480849443,4.251408855094,2.3005620428558,-1.0693175835211e-15,-0.0089655543184933
